hex, char
A708, 闘
A709, 働
A70A, 同
A70B, 堂
A70C, 導
A70D, 憧
A70E, 撞
A70F, 瞳
A710, 童
A711, 胴
A712, 萄
A713, 銅
A714, 峠
A715, 鴇
A716, 匿
A717, 徳
A718, 涜
A719, 督
A71A, 禿
A71B, 篤
A71C, 独
A71D, 読
A71E, 栃
A71F, 橡
A720, 凸
A721, 椴
A722, 届
A723, 鳶
A724, 苫
A725, 寅
A726, 酉
A727, 瀞
A728, 噸
A729, 屯
A72A, 惇
A72B, 敦
A72C, 沌
A72D, 豚
A72E, 遁
A72F, 頓
A730, 呑
A731, 曇
A732, 鈍
A733, 奈
A734, 内
A735, 乍
A736, 凪
A737, 謎
A738, 灘
A739, 捺
A73A, 鍋
A73B, 楢
A73C, 馴
A73D, 縄
A73E, 畷
A73F, 南
A740, 楠
A741, 軟
A742, 汝
A743, 尼
A744, 弐
A745, 迩
A746, 匂
A747, 賑
A748, 肉
A749, 虹
A74A, 廿
A74B, 日
A74C, 乳
A74D, 如
A74E, 尿
A74F, 韮
A750, 任
A751, 妊
A752, 忍
A753, 認
A754, 濡
A755, 禰
A756, 祢
A757, 寧
A758, 葱
A759, 猫
A75A, 年
A75B, 念
A75C, 捻
A75D, 捻
A75E, 撚
A75F, 燃
A760, 粘
A761, 乃
A762, 廼
A763, 之
A764, 埜
A765, 嚢
A766, 悩
A767, 濃
A768, 納
A769, 能
A76A, 膿
A76B, 農
A76C, 覗
A76D, 蚤
A76E, 巴
A76F, 把
A770, 播
A771, 杷
A772, 派
A773, 琶
A774, 婆
A775, 罵
A776, 芭
A777, 馬
A778, 俳
A779, 廃
A77A, 拝
A77B, 排
A77C, 杯
A77D, 盃
A77E, 牌
A77F, 背
A780, 背
A781, 肺
A782, 輩
A783, 配
A784, 倍
A785, 培
A786, 媒
A787, 梅
A788, 楳
A789, 煤
A78A, 狽
A78B, 買
A78C, 売
A78D, 賠
A78E, 陪
A78F, 這
A790, 蝿
A791, 秤
A792, 矧
A793, 萩
A794, 伯
A795, 剥
A796, 博
A797, 拍
A798, 柏
A799, 泊
A79A, 箔
A79B, 粕
A79C, 舶
A79D, 薄
A79E, 迫
A79F, 曝
A7A0, 漠
A7A1, 縛
A7A2, 莫
A7A3, 駁
A7A4, 麦
A7A5, 函
A7A6, 箱
A7A7, 硲
A7A8, 箸
A7A9, 肇
A7AA, 筈
A7AB, 櫨
A7AC, 幡
A7AD, 肌
A7AE, 畑
A7AF, 畠
A7B0, 八
A7B1, 鉢
A7B2, 溌
A7B3, 醗
A7B4, 髪
A7B5, 罰
A7B6, 筏
A7B7, 閥
A7B8, 鳩
A7B9, 噺
A7BA, 塙
A7BB, 蛤
A7BC, 隼
A7BD, 伴
A7BE, 判
A7BF, 半
A7C0, 叛
A7C1, 帆
A7C2, 搬
A7C3, 斑
A7C4, 板
A7C5, 氾
A7C6, 汎
A7C7, 版
A7C8, 犯
A7C9, 班
A7CA, 畔
A7CB, 繁
A7CC, 般
A7CD, 藩
A7CE, 販
A7CF, 範
A7D0, 釆
A7D1, 煩
A7D2, 頒
A7D3, 飯
A7D4, 挽
A7D5, 晩
A7D6, 番
A7D7, 盤
A7D8, 磐
A7D9, 蕃
A7DA, 蛮
A7DB, 匪
A7DC, 卑
A7DD, 否
A7DE, 妃
A7DF, 庇
A7E0, 彼
A7E1, 悲
A7E2, 扉
A7E3, 批
A7E4, 披
A7E5, 斐
A7E6, 比
A7E7, 泌
A7E8, 疲
A7E9, 皮
A7EA, 碑
A7EB, 罷
A7EC, 肥
A7ED, 被
A7EE, 誹
A7EF, 費
A7F0, 避
A7F1, 非
A7F2, 樋
A7F3, 簸
A7F4, 尾
A7F5, 微
A7F6, 枇
A7F7, 毘
A7F8, 琵
A7F9, 眉
A7FA, 美
A7FB, 鼻
A7FC, 柊
A7FD, 稗
A7FE, 匹
A7FF, 疋
A800, 伴
A801, 判
A802, 半
A803, 叛
A804, 帆
A805, 搬
A806, 斑
A807, 板
A808, 氾
A809, 汎
A80A, 版
A80B, 犯
A80C, 班
A80D, 畔
A80E, 繁
A80F, 般
A810, 藩
A811, 販
A812, 範
A813, 釆
A814, 煩
A815, 頒
A816, 飯
A817, 挽
A818, 晩
A819, 番
A81A, 盤
A81B, 磐
A81C, 蕃
A81D, 蛮
A81E, 匪
A81F, 卑
A820, 否
A821, 妃
A822, 庇
A823, 彼
A824, 悲
A825, 扉
A826, 批
A827, 披
A828, 斐
A829, 比
A82A, 泌
A82B, 疲
A82C, 皮
A82D, 碑
A82E, 罷
A82F, 肥
A830, 被
A831, 誹
A832, 費
A833, 避
A834, 非
A835, 樋
A836, 簸
A837, 尾
A838, 微
A839, 枇
A83A, 毘
A83B, 琵
A83C, 眉
A83D, 美
A83E, 鼻
A83F, 柊
A840, 稗
A841, 匹
A842, 疋
A843, 髭
A844, 彦
A845, 膝
A846, 菱
A847, 肘
A848, 弼
A849, 必
A84A, 畢
A84B, 筆
A84C, 逼
A84D, 桧
A84E, 姫
A84F, 媛
A850, 紐
A851, 百
A852, 謬
A853, 俵
A854, 彪
A855, 標
A856, 漂
A857, 瓢
A858, 票
A859, 表
A85A, 評
A85B, 豹
A85C, 廟
A85D, 廟
A85E, 描
A85F, 病
A860, 秒
A861, 苗
A862, 錨
A863, 鋲
A864, 蒜
A865, 蛭
A866, 鰭
A867, 品
A868, 彬
A869, 斌
A86A, 浜
A86B, 瀕
A86C, 貧
A86D, 賓
A86E, 頻
A86F, 敏
A870, 瓶
A871, 不
A872, 付
A873, 埠
A874, 夫
A875, 婦
A876, 富
A877, 冨
A878, 布
A879, 府
A87A, 怖
A87B, 扶
A87C, 敷
A87D, 斧
A87E, 普
A87F, 浮
A880, 浮
A881, 父
A882, 符
A883, 腐
A884, 膚
A885, 芙
A886, 譜
A887, 賦
A888, 赴
A889, 阜
A88A, 附
A88B, 侮
A88C, 撫
A88D, 葡
A88E, 蕪
A88F, 楓
A890, 葺
A891, 蕗
A892, 伏
A893, 副
A894, 幅
A895, 服
A896, 福
A897, 複
A898, 覆
A899, 淵
A89A, 弗
A89B, 沸
A89C, 仏
A89D, 物
A89E, 鮒
A89F, 吻
A8A0, 噴
A8A1, 墳
A8A2, 憤
A8A3, 扮
A8A4, 焚
A8A5, 奮
A8A6, 糞
A8A7, 紛
A8A8, 雰
A8A9, 文
A8AA, 聞
A8AB, 丙
A8AC, 併
A8AD, 兵
A8AE, 塀
A8AF, 幣
A8B0, 平
A8B1, 弊
A8B2, 柄
A8B3, 並
A8B4, 蔽
A8B5, 閉
A8B6, 陛
A8B7, 米
A8B8, 頁
A8B9, 僻
A8BA, 癖
A8BB, 碧
A8BC, 瞥
A8BD, 蔑
A8BE, 箆
A8BF, 偏
A8C0, 変
A8C1, 片
A8C2, 篇
A8C3, 編
A8C4, 辺
A8C5, 遍
A8C6, 便
A8C7, 勉
A8C8, 娩
A8C9, 弁
A8CA, 鞭
A8CB, 保
A8CC, 舗
A8CD, 鋪
A8CE, 圃
A8CF, 捕
A8D0, 歩
A8D1, 甫
A8D2, 輔
A8D3, 穂
A8D4, 募
A8D5, 墓
A8D6, 慕
A8D7, 戊
A8D8, 暮
A8D9, 母
A8DA, 簿
A8DB, 菩
A8DC, 倣
A8DD, 俸
A8DE, 包
A8DF, 呆
A8E0, 奉
A8E1, 宝
A8E2, 峰
A8E3, 峯
A8E4, 庖
A8E5, 抱
A8E6, 捧
A8E7, 放
A8E8, 方
A8E9, 朋
A8EA, 法
A8EB, 泡
A8EC, 烹
A8ED, 縫
A8EE, 芳
A8EF, 萌
A8F0, 蓬
A8F1, 蜂
A8F2, 褒
A8F3, 訪
A8F4, 豊
A8F5, 邦
A8F6, 鋒
A8F7, 飽
A8F8, 鵬
A8F9, 乏
A8FA, 亡
A8FB, 傍
A8FC, 剖
A8FD, 坊
A8FE, 妨
A8FF, 帽
A900, 蔑
A901, 箆
A902, 偏
A903, 変
A904, 片
A905, 篇
A906, 編
A907, 辺
A908, 遍
A909, 便
A90A, 勉
A90B, 娩
A90C, 弁
A90D, 鞭
A90E, 保
A90F, 舗
A910, 鋪
A911, 圃
A912, 捕
A913, 歩
A914, 甫
A915, 輔
A916, 穂
A917, 募
A918, 墓
A919, 慕
A91A, 戊
A91B, 暮
A91C, 母
A91D, 簿
A91E, 菩
A91F, 倣
A920, 俸
A921, 包
A922, 呆
A923, 奉
A924, 宝
A925, 峰
A926, 峯
A927, 庖
A928, 抱
A929, 捧
A92A, 放
A92B, 方
A92C, 朋
A92D, 法
A92E, 泡
A92F, 烹
A930, 縫
A931, 芳
A932, 萌
A933, 蓬
A934, 蜂
A935, 褒
A936, 訪
A937, 豊
A938, 邦
A939, 鋒
A93A, 飽
A93B, 鵬
A93C, 乏
A93D, 亡
A93E, 傍
A93F, 剖
A940, 坊
A941, 妨
A942, 帽
A943, 忘
A944, 忙
A945, 房
A946, 望
A947, 某
A948, 棒
A949, 冒
A94A, 紡
A94B, 肪
A94C, 膨
A94D, 謀
A94E, 貌
A94F, 貿
A950, 鉾
A951, 防
A952, 吠
A953, 頬
A954, 僕
A955, 卜
A956, 撲
A957, 朴
A958, 牧
A959, 睦
A95A, 穆
A95B, 釦
A95C, 勃
A95D, 勃
A95E, 没
A95F, 殆
A960, 堀
A961, 幌
A962, 奔
A963, 本
A964, 翻
A965, 凡
A966, 盆
A967, 摩
A968, 磨
A969, 麻
A96A, 埋
A96B, 妹
A96C, 昧
A96D, 枚
A96E, 毎
A96F, 哩
A970, 槙
A971, 幕
A972, 膜
A973, 枕
A974, 鮪
A975, 柾
A976, 鱒
A977, 桝
A978, 亦
A979, 俣
A97A, 又
A97B, 抹
A97C, 末
A97D, 沫
A97E, 迄
A97F, 侭
A980, 侭
A981, 繭
A982, 麿
A983, 万
A984, 慢
A985, 満
A986, 漫
A987, 蔓
A988, 味
A989, 未
A98A, 魅
A98B, 巳
A98C, 箕
A98D, 岬
A98E, 蜜
A98F, 湊
A990, 蓑
A991, 稔
A992, 脈
A993, 妙
A994, 粍
A995, 民
A996, 務
A997, 夢
A998, 牟
A999, 矛
A99A, 鵡
A99B, 椋
A99C, 婿
A99D, 娘
A99E, 冥
A99F, 名
A9A0, 命
A9A1, 明
A9A2, 盟
A9A3, 迷
A9A4, 銘
A9A5, 鳴
A9A6, 姪
A9A7, 牝
A9A8, 免
A9A9, 棉
A9AA, 綿
A9AB, 緬
A9AC, 面
A9AD, 麺
A9AE, 摸
A9AF, 模
A9B0, 茂
A9B1, 妄
A9B2, 孟
A9B3, 毛
A9B4, 盲
A9B5, 網
A9B6, 耗
A9B7, 蒙
A9B8, 儲
A9B9, 木
A9BA, 黙
A9BB, 杢
A9BC, 勿
A9BD, 餅
A9BE, 尤
A9BF, 戻
A9C0, 籾
A9C1, 貰
A9C2, 問
A9C3, 悶
A9C4, 紋
A9C5, 門
A9C6, 匁
A9C7, 也
A9C8, 冶
A9C9, 爺
A9CA, 耶
A9CB, 野
A9CC, 弥
A9CD, 矢
A9CE, 厄
A9CF, 役
A9D0, 約
A9D1, 薬
A9D2, 訳
A9D3, 靖
A9D4, 柳
A9D5, 薮
A9D6, 鑓
A9D7, 愉
A9D8, 愈
A9D9, 油
A9DA, 癒
A9DB, 諭
A9DC, 輸
A9DD, 唯
A9DE, 佑
A9DF, 優
A9E0, 勇
A9E1, 友
A9E2, 宥
A9E3, 幽
A9E4, 悠
A9E5, 憂
A9E6, 揖
A9E7, 有
A9E8, 柚
A9E9, 湧
A9EA, 涌
A9EB, 猶
A9EC, 猷
A9ED, 由
A9EE, 祐
A9EF, 裕
A9F0, 誘
A9F1, 遊
A9F2, 邑
A9F3, 郵
A9F4, 雄
A9F5, 融
A9F6, 夕
A9F7, 予
A9F8, 余
A9F9, 与
A9FA, 誉
A9FB, 輿
A9FC, 預
A9FD, 傭
A9FE, 幼
A9FF, 妖
AA00, 餅
AA01, 尤
AA02, 戻
AA03, 籾
AA04, 貰
AA05, 問
AA06, 悶
AA07, 紋
AA08, 門
AA09, 匁
AA0A, 也
AA0B, 冶
AA0C, 爺
AA0D, 耶
AA0E, 野
AA0F, 弥
AA10, 矢
AA11, 厄
AA12, 役
AA13, 約
AA14, 薬
AA15, 訳
AA16, 靖
AA17, 柳
AA18, 薮
AA19, 鑓
AA1A, 愉
AA1B, 愈
AA1C, 油
AA1D, 癒
AA1E, 諭
AA1F, 輸
AA20, 唯
AA21, 佑
AA22, 優
AA23, 勇
AA24, 友
AA25, 宥
AA26, 幽
AA27, 悠
AA28, 憂
AA29, 揖
AA2A, 有
AA2B, 柚
AA2C, 湧
AA2D, 涌
AA2E, 猶
AA2F, 猷
AA30, 由
AA31, 祐
AA32, 裕
AA33, 誘
AA34, 遊
AA35, 邑
AA36, 郵
AA37, 雄
AA38, 融
AA39, 夕
AA3A, 予
AA3B, 余
AA3C, 与
AA3D, 誉
AA3E, 輿
AA3F, 預
AA40, 傭
AA41, 幼
AA42, 妖
AA43, 容
AA44, 庸
AA45, 揚
AA46, 揺
AA47, 擁
AA48, 曜
AA49, 楊
AA4A, 様
AA4B, 洋
AA4C, 溶
AA4D, 熔
AA4E, 窯
AA4F, 羊
AA50, 耀
AA51, 葉
AA52, 蓉
AA53, 謡
AA54, 踊
AA55, 遥
AA56, 養
AA57, 慾
AA58, 抑
AA59, 欲
AA5A, 沃
AA5B, 浴
AA5C, 翌
AA5D, 翌
AA5E, 淀
AA5F, 裸
AA60, 莱
AA61, 頼
AA62, 洛
AA63, 絡
AA64, 酪
AA65, 卵
AA66, 嵐
AA67, 欄
AA68, 濫
AA69, 藍
AA6A, 蘭
AA6B, 覧
AA6C, 利
AA6D, 吏
AA6E, 履
AA6F, 李
AA70, 梨
AA71, 理
AA72, 璃
AA73, 痢
AA74, 裏
AA75, 裡
AA76, 里
AA77, 離
AA78, 陸
AA79, 律
AA7A, 率
AA7B, 葎
AA7C, 掠
AA7D, 略
AA7E, 劉
AA7F, 流
AA80, 流
AA81, 琉
AA82, 留
AA83, 硫
AA84, 粒
AA85, 隆
AA86, 侶
AA87, 慮
AA88, 虜
AA89, 了
AA8A, 亮
AA8B, 僚
AA8C, 凌
AA8D, 寮
AA8E, 料
AA8F, 梁
AA90, 涼
AA91, 猟
AA92, 療
AA93, 瞭
AA94, 稜
AA95, 糧
AA96, 良
AA97, 諒
AA98, 遼
AA99, 量
AA9A, 陵
AA9B, 緑
AA9C, 倫
AA9D, 厘
AA9E, 林
AA9F, 淋
AAA0, 琳
AAA1, 臨
AAA2, 輪
AAA3, 隣
AAA4, 鱗
AAA5, 麟
AAA6, 瑠
AAA7, 塁
AAA8, 涙
AAA9, 累
AAAA, 類
AAAB, 令
AAAC, 伶
AAAD, 例
AAAE, 冷
AAAF, 励
AAB0, 嶺
AAB1, 怜
AAB2, 玲
AAB3, 礼
AAB4, 苓
AAB5, 鈴
AAB6, 隷
AAB7, 零
AAB8, 霊
AAB9, 麗
AABA, 齢
AABB, 暦
AABC, 歴
AABD, 列
AABE, 劣
AABF, 廉
AAC0, 恋
AAC1, 漣
AAC2, 簾
AAC3, 練
AAC4, 聯
AAC5, 錬
AAC6, 呂
AAC7, 魯
AAC8, 櫓
AAC9, 炉
AACA, 賂
AACB, 路
AACC, 露
AACD, 労
AACE, 婁
AACF, 廊
AAD0, 弄
AAD1, 朗
AAD2, 楼
AAD3, 榔
AAD4, 浪
AAD5, 漏
AAD6, 牢
AAD7, 篭
AAD8, 老
AAD9, 聾
AADA, 蝋
AADB, 郎
AADC, 六
AADD, 麓
AADE, 禄
AADF, 肋
AAE0, 録
AAE1, 論
AAE2, 倭
AAE3, 和
AAE4, 話
AAE5, 歪
AAE6, 賄
AAE7, 脇
AAE8, 惑
AAE9, 枠
AAEA, 鷲
AAEB, 亙
AAEC, 亘
AAED, 鰐
AAEE, 詫
AAEF, 藁
AAF0, 蕨
AAF1, 椀
AAF2, 湾
AAF3, 碗
AAF4, 腕
AAF5, 嗅
AAF6, 爬
AAF7, 騙
AAF8, 咎
AAF9, 罠
AAFA, 峙
AAFB, 炸
AAFC, 朦
AAFD, 朧
AAFE, 璧
AAFF, 頷
AB00, 列
AB01, 劣
AB02, 廉
AB03, 恋
AB04, 漣
AB05, 簾
AB06, 練
AB07, 聯
AB08, 錬
AB09, 呂
AB0A, 魯
AB0B, 櫓
AB0C, 炉
AB0D, 賂
AB0E, 路
AB0F, 露
AB10, 労
AB11, 婁
AB12, 廊
AB13, 弄
AB14, 朗
AB15, 楼
AB16, 榔
AB17, 浪
AB18, 漏
AB19, 牢
AB1A, 篭
AB1B, 老
AB1C, 聾
AB1D, 蝋
AB1E, 郎
AB1F, 六
AB20, 麓
AB21, 禄
AB22, 肋
AB23, 録
AB24, 論
AB25, 倭
AB26, 和
AB27, 話
AB28, 歪
AB29, 賄
AB2A, 脇
AB2B, 惑
AB2C, 枠
AB2D, 鷲
AB2E, 亙
AB2F, 亘
AB30, 鰐
AB31, 詫
AB32, 藁
AB33, 蕨
AB34, 椀
AB35, 湾
AB36, 碗
AB37, 腕
AB38, 嗅
AB39, 爬
AB3A, 騙
AB3B, 咎
AB3C, 罠
AB3D, 峙
AB3E, 炸
AB3F, 朦
AB40, 朧
AB41, 璧
AB42, 頷
AB43, 綺
AB44, 咄
AB45, 嗟
AB46, 甦
AB47, 贄
AB48, 恍
AB49, 鑼
AB4A, 殲
AB4B, 裔
AB4C, 炒
AB4D, 渾
AB4E, 祀
AB4F, 穢
AB50, 犧
AB51, 祓
AB52, 鉤
AB53, 瘴
AB54, 謳
AB55, 痺
AB56, 袂
AB57, 絆
AB58, 憑
AB59, 埃
AB5A, 鬱
AB5B, 焉
AB5C, 狡
AB5D, 狡
AB5E, 猾
AB5F, 涎
AB60, 蜃
AB61, 緻
AB62, 愕
AB63, 傲
AB64, 囁
AB65, 磋
AB66, 穹
AB67, 咤
AB68, 凛
AB69, 籐
AB6A, 几
AB6B, 攫
AB6C, 炮
AB6D, 嶝
AB6E, 澤
AB6F, 臻
AB71, 晨
AB72, 萍
AB73, 蔡
AB74, 曉
AB75, 奚
AB77, 檜
AB78, 眞
AB79, 邊
AB7B, 渕
AB7C, 廣
AB7D, 薔
AB7E, 薇
AB7F, 丼
AB80, 丼
AB81, 隕
AB82, 琥
AB83, 珀
AB84, 橙
AB85, 槐
AB86, 啖
AB87, 呵
AB88, 颯
AB89, 虔
AB8A, 檄
AB8B, 唸
AB8C, 曖
AB8D, 躊
AB8E, 躇
AB8F, 彗
AB90, 爛
AB91, 徘
AB92, 徊
AB93, 掟
AB94, 棍
AB95, 腑
AB96, 蟲
AB97, 奢
AB98, 撥
AB99, 鼈
AB9A, 棹
AB9B, 眩
AB9C, 皹
AB9D, 洒
AB9E, 贅
AB9F, 捏
ABA0, 圓
ABA1, 將
ABA2, 姚
ABA3, 姜
ABA4, 熙
ABA5, 栫
ABA6, 濱
ABA7, 睛
ABA8, 埒
ABA9, 踪
ABAA, 遽
